budget_for,year,head_title,level_code,total_actuals,total_estimate_py,total_revised_py,total_estimate_cy,level_col,head_title_updated,level_num,min_level,ref_id,display_title,category,slug
police,2018-19,police__null__education and training__assam police academy (training),2055__0__3__440,0.3397,1.355,1.355,1.2794,level_4,police__education and training__assam police academy (training),4,4,1361,Police -> Education And Training -> Assam Police Academy (Training),education and training,police_education_and_training_assam_police_academy_(training)
police,2019-20,police__null__education and training__assam police academy (training),2055__0__3__440,1.0378,1.2794,1.2894,1.3741,level_4,police__education and training__assam police academy (training),4,4,1362,Police -> Education And Training -> Assam Police Academy (Training),education and training,police_education_and_training_assam_police_academy_(training)
police,2020-21,police__null__education and training__assam police academy (training),2055__0__3__440,0.8992,1.3741,1.3741,1.2138,level_4,police__education and training__assam police academy (training),4,4,1363,Police -> Education And Training -> Assam Police Academy (Training),education and training,police_education_and_training_assam_police_academy_(training)
police,2021-22,police__null__education and training__assam police academy (training),2055__0__3__440,0.8011999999999999,1.2138,1.2138,0.9809,level_4,police__education and training__assam police academy (training),4,4,1364,Police -> Education And Training -> Assam Police Academy (Training),education and training,police_education_and_training_assam_police_academy_(training)
police,2022-23,police__null__education and training__assam police academy (training),2055__0__3__440,0.764,0.9809,1.0009,0,level_4,police__education and training__assam police academy (training),4,4,1365,Police -> Education And Training -> Assam Police Academy (Training),education and training,police_education_and_training_assam_police_academy_(training)
police,2018-19,police__null__criminal investigation and vigilance__criminal investigation department,2055__0__101__442,23.0154,29.7962,33.416199999999996,34.641799999999996,level_4,police__criminal investigation and vigilance__criminal investigation department,4,4,1366,Police -> Criminal Investigation And Vigilance -> Criminal Investigation Department,criminal investigation and vigilance,police_criminal_investigation_and_vigilance_criminal_investigation_department
police,2019-20,police__null__criminal investigation and vigilance__criminal investigation department,2055__0__101__442,28.1735,34.641799999999996,36.3225,40.1946,level_4,police__criminal investigation and vigilance__criminal investigation department,4,4,1367,Police -> Criminal Investigation And Vigilance -> Criminal Investigation Department,criminal investigation and vigilance,police_criminal_investigation_and_vigilance_criminal_investigation_department
police,2020-21,police__null__criminal investigation and vigilance__criminal investigation department,2055__0__101__442,32.9691,40.1946,40.9564,46.9701,level_4,police__criminal investigation and vigilance__criminal investigation department,4,4,1368,Police -> Criminal Investigation And Vigilance -> Criminal Investigation Department,criminal investigation and vigilance,police_criminal_investigation_and_vigilance_criminal_investigation_department
police,2021-22,police__null__criminal investigation and vigilance__criminal investigation department,2055__0__101__442,35.982,46.9701,47.703500000000005,43.6926,level_4,police__criminal investigation and vigilance__criminal investigation department,4,4,1369,Police -> Criminal Investigation And Vigilance -> Criminal Investigation Department,criminal investigation and vigilance,police_criminal_investigation_and_vigilance_criminal_investigation_department
police,2022-23,police__null__criminal investigation and vigilance__criminal investigation department,2055__0__101__442,34.8317,43.6926,45.111,49.991800000000005,level_4,police__criminal investigation and vigilance__criminal investigation department,4,4,1370,Police -> Criminal Investigation And Vigilance -> Criminal Investigation Department,criminal investigation and vigilance,police_criminal_investigation_and_vigilance_criminal_investigation_department
