grant,head_title_updated,category
police,police__direction and administration__police range__machinery and equipment / tools & plants,direction and administration
police,police__special police__general security related expenditure__armed police battalion__machinery and equipment / tools & plants,special police
police,"police__district police__river police__rents, rates & taxes / royalty",district police - river police
police,police__district police__inter-state international border affairs__materials & supplies,district police
police,police__railway police__supervising staff__other charges,railway police
police,police__wireless and computers__wireless and computer__maintenance,wireless and computers
police,police__other expenditure__new indian reserve battalions__machinery and equipment / tools & plants,other expenditure - new indian reserve battalions
police,police__education and training__recruits training school of assam__other charges,education and training
police,police__special police__armed police battalions__other charges,special police
police,"police__railway police__supervising staff__rents, rates & taxes / royalty",railway police
police,police__wireless and computers__wireless and computer__wages,wireless and computers
police,police__other expenditure__relief operation in connection with disturbances__battalion for ongc (reimbursable from ongc)__machinery and equipment / tools & plants,other expenditure - relief operation in connection with disturbances
police,"police__direction and administration__head quarters establishment__rents, rates & taxes / royalty",direction and administration
police,police__direction and administration__head quarters establishment__materials & supplies,direction and administration
police,police__education and training__armed police training centre__other charges,education and training - armed police training centre
police,police__criminal investigation and vigilance__criminal investigation department__other charges,criminal investigation and vigilance
police,police__special police__armed police battalions__machinery and equipment / tools & plants,special police
police,police__welfare of police personnel__police hospital__machinery and equipment / tools & plants,welfare of police personnel
police,police__other expenditure__relief operation in connection with disturbances__operation against militant raising of assam commando battalion at mandakata__maintenance,other expenditure - relief operation in connection with disturbances
police,police__education and training__police training college__other charges,education and training
police,police__criminal investigation and vigilance__criminal investigation department__machinery and equipment / tools & plants,criminal investigation and vigilance
police,police__district police__district police proper__materials & supplies,district police - district police proper
police,police__other expenditure__special task force__other charges,other expenditure
police,police__criminal investigation and vigilance__criminal investigation department__payment for professional and special services,criminal investigation and vigilance
police,police__criminal investigation and vigilance__special branch (bieo)__materials & supplies,criminal investigation and vigilance - special branch
police,police__district police__river police__materials & supplies,district police - river police
police,police__district police__checking of bangladeshi infiltration__checking of bangladeshi infiltration__materials & supplies,district police - checking of bangladeshi infiltration
police,police__other expenditure__expenditure in connection with general election__charges for conduct of panchayat election__other charges,other expenditure
police,police__direction and administration__police range__materials & supplies,direction and administration
police,police__welfare of police personnel__amenities__materials & supplies,welfare of police personnel
police,police__district police__district police proper__wages,district police - district police proper
police,police__wireless and computers__wireless and computer__materials & supplies,wireless and computers
police,police__other expenditure__new indian reserve battalions__maintenance,other expenditure - new indian reserve battalions
police,"police__direction and administration__police range__rents, rates & taxes / royalty",direction and administration
police,police__education and training__battalion training centre__materials & supplies,education and training - battalion training centre
police,"police__district police__establishment of watch post schemes__reimbursable from govt. of india__rents, rates & taxes / royalty",district police - establishment of watch post schemes
police,police__district police__establishment of watch post schemes__reimbursable from govt. of india__office expenses,district police - establishment of watch post schemes
police,police__district police__checking of bangladeshi infiltration__checking of bangladeshi infiltration__machinery and equipment / tools & plants,district police - checking of bangladeshi infiltration
police,police__district police__general security related expenditure__deployment of central and other police force__office expenses,district police - general security related expenditure
police,police__railway police__supervising staff__maintenance,railway police
police,police__other expenditure__special task force__materials & supplies,other expenditure
police,police__criminal investigation and vigilance__narcotic cell__materials & supplies,criminal investigation and vigilance
police,police__village police__village police/village defence organisation__purchase of motor vehicles,village police
police,police__district police__checking of bangladeshi infiltration__reimbursable from govt. of india__secret service expenditure,district police - checking of bangladeshi infiltration
police,police__district police__establishment of watch post schemes__reimbursable from govt. of india__secret service expenditure,district police - establishment of watch post schemes
police,"police__district police__general security related expenditure__deployment of central and other police force__rents, rates & taxes / royalty",district police - general security related expenditure
police,police__direction and administration__police range__maintenance,direction and administration
police,police__education and training__police training college__maintenance,education and training
police,police__education and training__armed police training centre__machinery and equipment / tools & plants,education and training - armed police training centre
police,police__education and training__battalion training centre__machinery and equipment / tools & plants,education and training - battalion training centre
police,police__criminal investigation and vigilance__special branch (bieo)__payment for professional and special services,criminal investigation and vigilance - special branch
police,police__criminal investigation and vigilance__special branch (bieo)__minor works,criminal investigation and vigilance - special branch
police,police__district police__women police__maintenance,district police - women police
police,police__district police__women police__minor works,district police - women police
police,police__district police__checking of bangladeshi infiltration__checking of bangladeshi infiltration__payment for professional and special services,district police - checking of bangladeshi infiltration
police,police__railway police__supervising staff__machinery and equipment / tools & plants,railway police
police,police__other expenditure__special task force__maintenance,other expenditure
police,"police__district police__police, passport & visa system__reimbursable from govt. of india__other charges","district police - police, passport & visa system"
police,police__village police__village police/village defence organisation__salaries,village police
police,police__direction and administration__head quarters establishment__machinery and equipment / tools & plants,direction and administration
police,police__direction and administration__police range__wages,direction and administration
police,police__education and training__battalion training centre__maintenance,education and training - battalion training centre
police,police__criminal investigation and vigilance__criminal investigation department__wages,criminal investigation and vigilance
police,police__village police__village police/village defence organisation__travel expenses,village police
police,police__direction and administration__head quarters establishment__wages,direction and administration
police,police__criminal investigation and vigilance__special branch (bieo)__wages,criminal investigation and vigilance - special branch
police,police__criminal investigation and vigilance__special branch (bieo)__maintenance,criminal investigation and vigilance - special branch
police,police__criminal investigation and vigilance__special branch (bieo)__other charges,criminal investigation and vigilance - special branch
police,police__criminal investigation and vigilance__special branch__payment for professional and special services,criminal investigation and vigilance - special branch
police,police__modernisation of police force__general security related expenditure__major works,modernisation of police force
