category,major_head_code,level,unique_level_heads,2018-19,2019-20,2020-21,2021-22,2022-23
jails,2056,level_7_code,2056__0__101__486__0__4__11,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__0__4__10,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__0__4__9,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__0__4__7,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__0__4__6,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__0__4__5,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__0__4__4,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__0__4__2,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__0__4__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__800__489__0__4__12,TRUE,TRUE,TRUE,TRUE,FALSE
jails,2056,level_7_code,2056__0__800__489__0__4__11,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__800__489__0__4__10,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__800__489__0__4__9,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__800__489__0__4__7,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__800__489__0__4__6,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__800__489__0__4__5,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__800__489__0__4__4,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__800__489__0__4__2,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__800__489__0__4__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__600__4__12,TRUE,TRUE,TRUE,TRUE,FALSE
jails,2056,level_7_code,2056__0__101__486__600__4__11,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__600__4__10,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__600__4__9,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__600__4__7,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__600__4__6,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__600__4__5,TRUE,TRUE,TRUE,TRUE,TRUE
