budget_for,year,head_title,level_code,total_actuals,total_estimate_py,total_revised_py,total_estimate_cy,level_col,head_title_updated,level_num,min_level,display_title,category
jails,2021-22,jails__null__direction and administration__head quarters establishment__null__payment for professional and special services,2056__0__1__172__0__5,6,0.01,0.01,4.51,level_6,jails__direction and administration__head quarters establishment__payment for professional and special services,6,6,Jails - Direction And Administration - Head Quarters Establishment - Payment For Professional And Special Services,direction and administration
jails,2018-19,jails__null__direction and administration__range__null__salaries,2056__0__1__1738__0__1,44.25,51.17,66.77,64.63,level_6,jails__direction and administration__range__salaries,6,6,Jails - Direction And Administration - Range - Salaries,direction and administration
jails,2019-20,jails__null__direction and administration__range__null__salaries,2056__0__1__1738__0__1,54.57,64.63,64.63,68.49,level_6,jails__direction and administration__range__salaries,6,6,Jails - Direction And Administration - Range - Salaries,direction and administration
jails,2020-21,jails__null__direction and administration__range__null__salaries,2056__0__1__1738__0__1,51.5,68.49,80.24,80.9,level_6,jails__direction and administration__range__salaries,6,6,Jails - Direction And Administration - Range - Salaries,direction and administration
jails,2021-22,jails__null__direction and administration__range__null__salaries,2056__0__1__1738__0__1,75.31,80.9,80.9,75.47,level_6,jails__direction and administration__range__salaries,6,6,Jails - Direction And Administration - Range - Salaries,direction and administration
jails,2018-19,jails__null__direction and administration__range__null__travel expenses,2056__0__1__1738__0__3,0.47,1,1,1,level_6,jails__direction and administration__range__travel expenses,6,6,Jails - Direction And Administration - Range - Travel Expenses,direction and administration
jails,2019-20,jails__null__direction and administration__range__null__travel expenses,2056__0__1__1738__0__3,0.35,1,1,1,level_6,jails__direction and administration__range__travel expenses,6,6,Jails - Direction And Administration - Range - Travel Expenses,direction and administration
jails,2020-21,jails__null__direction and administration__range__null__travel expenses,2056__0__1__1738__0__3,0.86,1,1,0.93,level_6,jails__direction and administration__range__travel expenses,6,6,Jails - Direction And Administration - Range - Travel Expenses,direction and administration
jails,2021-22,jails__null__direction and administration__range__null__travel expenses,2056__0__1__1738__0__3,0.97,0.93,0.93,0.45,level_6,jails__direction and administration__range__travel expenses,6,6,Jails - Direction And Administration - Range - Travel Expenses,direction and administration
jails,2018-19,jails__null__jails__district jails__null__salaries,2056__0__101__486__0__1,3036.69,3588.57,4373.57,4549.47,level_6,jails__jails__district jails__salaries,6,6,Jails - Jails - District Jails - Salaries,district jails
jails,2019-20,jails__null__jails__district jails__null__salaries,2056__0__101__486__0__1,3663.1600000000003,4549.47,4549.47,4900.89,level_6,jails__jails__district jails__salaries,6,6,Jails - Jails - District Jails - Salaries,district jails
jails,2020-21,jails__null__jails__district jails__null__salaries,2056__0__101__486__0__1,3869.98,4900.89,4900.89,4462.41,level_6,jails__jails__district jails__salaries,6,6,Jails - Jails - District Jails - Salaries,district jails
